iter	Passed	Remaining
516	652	609
517	653	607
518	653	606
519	654	604
520	656	603
521	658	602
522	658	600
523	659	599
524	660	597
525	661	596
526	662	594
527	663	592
528	664	591
529	665	589
530	665	588
531	666	586
532	667	584
533	668	583
534	669	581
535	671	580
536	672	579
537	672	577
538	674	576
539	675	575
540	677	574
541	679	573
542	680	572
543	681	571
544	684	571
545	686	571
546	688	569
547	689	568
548	690	566
549	690	565
550	691	563
551	692	562
552	693	560
553	694	559
554	695	557
555	696	556
556	697	554
557	698	553
558	699	551
559	700	550
560	701	548
561	702	547
562	703	546
563	704	544
564	705	543
565	706	541
566	707	540
567	708	539
568	709	537
569	710	536
570	711	534
571	712	533
572	715	532
573	716	531
574	717	530
575	718	528
576	719	527
577	720	526
578	721	524
579	722	523
580	723	521
581	724	520
582	725	518
583	726	517
584	727	516
585	730	516
586	732	515
587	733	513
588	734	512
589	735	511
590	737	510
591	738	508
592	739	507
593	740	506
594	741	504
595	742	503
596	744	502
597	745	501
598	747	500
599	748	498
600	750	498
601	751	496
602	752	495
603	754	494
604	755	493
605	756	491
606	757	490
607	760	490
608	762	489
609	763	487
610	764	486
611	765	485
612	766	483
613	767	482
614	768	480
615	769	479
616	769	477
617	771	476
618	772	475
619	772	473
620	775	473
621	776	471
622	777	470
623	778	469
624	779	467
625	780	466
626	781	464
627	782	463
628	783	462
629	784	460
630	785	459
631	785	457
632	786	456
633	787	454
634	790	454
635	791	453
636	792	451
637	794	450
638	795	449
639	796	447
640	797	446
641	797	444
642	798	443
643	799	442
644	800	440
645	801	439
646	802	437
647	805	437
648	806	436
649	807	434
650	811	434
651	812	433
652	814	432
653	820	433
654	821	432
655	824	432
656	825	430
657	826	429
658	827	428
659	828	426
660	829	425
661	830	423
662	831	422
663	832	421
664	834	420
665	836	419
666	878	438
667	880	437
668	885	438
669	887	437
670	889	436
671	891	435
672	892	433
673	894	432
674	896	431
675	899	431
676	901	430
677	903	428
678	904	427
679	906	426
680	908	425
681	909	424
682	940	436
683	942	435
684	944	434
685	945	432
686	947	431
687	948	430
688	951	429
689	952	428
690	954	426
691	955	425
692	956	423
693	957	422
694	959	420
695	962	420
696	964	419
697	966	418
698	981	422
699	983	421
700	985	420
701	987	419
702	988	417
703	990	416
704	991	414
705	993	413
706	995	412
707	996	411
708	998	409
709	1006	411
710	1013	412
711	1015	410
712	1016	409
713	1017	407
714	1018	406
715	1019	404
716	1021	403
717	1022	401
718	1024	400
719	1025	398
720	1027	397
721	1028	396
722	1029	394
723	1030	392
724	1031	391
725	1032	389
726	1033	388
727	1035	386
728	1036	385
729	1037	383
730	1039	382
731	1040	380
732	1041	379
733	1043	378
734	1044	376
735	1045	375
736	1047	373
737	1048	372
738	1049	370
739	1050	369
740	1051	367
741	1052	365
742	1054	364
743	1056	363
744	1057	362
745	1058	360
746	1059	358
747	1060	357
748	1062	355
749	1063	354
750	1064	352
751	1065	351
752	1066	349
753	1068	348
754	1070	347
755	1071	345
756	1072	344
757	1073	342
758	1074	341
759	1075	339
760	1077	338
761	1078	336
762	1079	335
763	1080	333
764	1081	332
765	1082	330
766	1084	329
767	1085	327
768	1086	326
769	1087	324
770	1088	323
771	1089	321
772	1090	320
773	1091	318
774	1093	317
775	1094	316
776	1096	314
777	1099	313
778	1100	312
779	1101	310
780	1102	309
781	1103	307
782	1104	306
783	1105	304
784	1105	302
785	1106	301
786	1107	299
787	1108	298
788	1109	296
789	1111	295
790	1112	294
791	1113	292
792	1114	290
793	1115	289
794	1116	287
795	1117	286
796	1118	284
797	1119	283
798	1120	281
799	1121	280
800	1122	278
801	1123	277
802	1123	275
803	1125	274
804	1126	272
805	1127	271
806	1128	269
807	1129	268
808	1130	266
809	1131	265
810	1132	263
811	1133	262
812	1134	260
813	1135	259
814	1136	257
815	1136	256
816	1137	254
817	1139	253
818	1140	252
819	1141	250
820	1142	249
821	1143	247
822	1144	246
823	1145	244
824	1145	243
825	1147	241
826	1148	240
827	1149	238
828	1151	237
829	1155	236
830	1157	235
831	1158	233
832	1159	232
833	1160	230
834	1161	229
835	1161	227
836	1162	226
837	1163	224
838	1164	223
839	1165	221
840	1166	220
841	1167	219
842	1168	217
843	1169	216
844	1170	214
845	1171	213
846	1172	211
847	1173	210
848	1174	208
849	1175	207
850	1176	206
851	1178	204
852	1179	203
853	1180	201
854	1181	200
855	1182	198
856	1185	197
857	1186	196
858	1187	194
859	1188	193
860	1189	192
861	1190	190
862	1191	189
863	1192	187
864	1193	186
865	1194	184
866	1195	183
867	1197	182
868	1199	180
869	1200	179
870	1201	178
871	1202	176
872	1203	175
873	1204	173
874	1205	172
875	1207	170
876	1208	169
877	1209	168
878	1210	166
879	1211	165
880	1213	163
881	1214	162
882	1215	161
883	1217	159
884	1218	158
885	1219	156
886	1220	155
887	1221	154
888	1222	152
889	1223	151
890	1224	149
891	1225	148
892	1226	146
893	1228	145
894	1229	144
895	1230	142
896	1231	141
897	1232	140
898	1233	138
899	1234	137
900	1235	135
901	1236	134
902	1237	132
903	1238	131
904	1239	130
905	1241	128
906	1242	127
907	1243	126
908	1245	124
909	1246	123
910	1247	121
911	1248	120
912	1249	119
913	1250	117
914	1251	116
915	1252	114
916	1253	113
917	1254	112
918	1256	110
919	1257	109
920	1258	107
921	1259	106
922	1260	105
923	1261	103
924	1262	102
925	1263	100
926	1264	99
927	1265	98
928	1267	96
929	1268	95
930	1270	94
931	1272	92
932	1275	91
933	1277	90
934	1278	88
935	1279	87
936	1280	86
937	1281	84
938	1282	83
939	1283	81
940	1283	80
941	1285	79
942	1286	77
943	1287	76
944	1288	74
945	1289	73
946	1290	72
947	1290	70
948	1291	69
949	1292	68
950	1293	66
951	1294	65
952	1295	63
953	1296	62
954	1297	61
955	1298	59
956	1299	58
957	1300	57
958	1302	55
959	1303	54
960	1304	52
961	1305	51
962	1306	50
963	1307	48
964	1308	47
965	1309	46
966	1310	44
967	1310	43
968	1311	41
969	1312	40
970	1313	39
971	1315	37
972	1316	36
973	1317	35
974	1318	33
975	1318	32
976	1320	31
977	1321	29
978	1322	28
979	1323	27
980	1324	25
981	1326	24
982	1327	22
983	1329	21
984	1331	20
985	1332	18
986	1334	17
987	1336	16
988	1337	14
989	1338	13
990	1339	12
991	1340	10
992	1341	9
993	1341	8
994	1343	6
995	1344	5
996	1345	4
997	1346	2
998	1347	1
999	1348	0
